2020-04-07 10:47:00	, 3885,	999
2020-04-07 10:48:00	, 3886,	994
2020-04-07 10:49:00	, 3884,	1000
2020-04-07 10:50:00	, 3883,	993
2020-04-07 10:51:00	, 3884,	994
2020-04-07 10:52:00	, 3882,	1006
2020-04-07 10:53:00	, 3881,	1005
2020-04-07 10:54:00	, 3881,	1006
2020-04-07 10:55:00	, 3881,	1000
2020-04-07 10:56:00	, 3880,	1005
2020-04-07 10:57:00	, 3879,	1000
2020-04-07 10:58:00	, 3877,	1004
2020-04-07 10:59:00	, 3878,	991
2020-04-07 11:00:00	, 3876,	994
2020-04-07 11:01:00	, 3876,	1001
2020-04-07 11:02:00	, 3875,	1001
2020-04-07 11:03:00	, 3876,	1001
2020-04-07 11:04:00	, 3875,	994
2020-04-07 11:05:00	, 3872,	1001
2020-04-07 11:06:00	, 3871,	996
2020-04-07 11:07:00	, 3873,	1000
2020-04-07 11:08:00	, 3872,	994
2020-04-07 11:09:00	, 3871,	1006
2020-04-07 11:10:00	, 3870,	1001
2020-04-07 11:11:00	, 3870,	1007
2020-04-07 11:12:00	, 3869,	1000
2020-04-07 11:13:00	, 3868,	1000
2020-04-07 11:14:00	, 3866,	994
2020-04-07 11:15:00	, 3868,	998
2020-04-07 11:16:00	, 3865,	1002
2020-04-07 11:17:00	, 3866,	1007
2020-04-07 11:18:00	, 3865,	1006
2020-04-07 11:19:00	, 3863,	1000
2020-04-07 11:20:00	, 3864,	1001
2020-04-07 11:21:00	, 3862,	1003
2020-04-07 11:22:00	, 3862,	1002
2020-04-07 11:23:00	, 3858,	1010
2020-04-07 11:24:00	, 3862,	998
2020-04-07 11:25:00	, 3860,	1001
2020-04-07 11:26:00	, 3860,	1000
2020-04-07 11:27:00	, 3859,	993
2020-04-07 11:28:00	, 3858,	1006
2020-04-07 11:29:00	, 3857,	1000
2020-04-07 11:30:00	, 3854,	1006
2020-04-07 11:31:00	, 3856,	999
2020-04-07 11:32:00	, 3855,	998
2020-04-07 11:33:00	, 3854,	1007
2020-04-07 11:34:00	, 3853,	999
2020-04-07 11:35:00	, 3853,	999
2020-04-07 11:36:00	, 3851,	1005
2020-04-07 11:37:00	, 3852,	992
2020-04-07 11:38:00	, 3850,	1005
2020-04-07 11:39:00	, 3850,	1001
2020-04-07 11:40:00	, 3850,	999
2020-04-07 11:41:00	, 3850,	1006
2020-04-07 11:42:00	, 3847,	990
2020-04-07 11:43:00	, 3846,	989
2020-04-07 11:44:00	, 3846,	1007
2020-04-07 11:45:00	, 3844,	1005
2020-04-07 11:46:00	, 3846,	999
2020-04-07 11:47:00	, 3846,	1000
2020-04-07 11:48:00	, 3844,	990
2020-04-07 11:49:00	, 3844,	993
2020-04-07 11:50:00	, 3842,	1006
2020-04-07 11:51:00	, 3842,	996
2020-04-07 11:52:00	, 3840,	1005
2020-04-07 11:53:00	, 3841,	1007
2020-04-07 11:54:00	, 3840,	1000
2020-04-07 11:55:00	, 3839,	1000
2020-04-07 11:56:00	, 3839,	1008
2020-04-07 11:57:00	, 3838,	1000
2020-04-07 11:58:00	, 3838,	999
2020-04-07 11:59:00	, 3834,	1003
2020-04-07 12:00:00	, 3835,	992
2020-04-07 12:01:00	, 3834,	1004
2020-04-07 12:02:00	, 3834,	995
2020-04-07 12:03:00	, 3833,	994
2020-04-07 12:04:00	, 3833,	998
2020-04-07 12:05:00	, 3832,	994
2020-04-07 12:06:00	, 3832,	1004
2020-04-07 12:07:00	, 3832,	992
2020-04-07 12:08:00	, 3829,	993
2020-04-07 12:09:00	, 3830,	994
2020-04-07 12:10:00	, 3828,	1005
2020-04-07 12:11:00	, 3830,	991
2020-04-07 12:12:00	, 3829,	998
2020-04-07 12:13:00	, 3827,	999
2020-04-07 12:14:00	, 3826,	999
2020-04-07 12:15:00	, 3826,	1005
2020-04-07 12:16:00	, 3824,	1004
2020-04-07 12:17:00	, 3824,	1001
2020-04-07 12:18:00	, 3822,	992
2020-04-07 12:19:00	, 3824,	993
2020-04-07 12:20:00	, 3822,	993
2020-04-07 12:21:00	, 3822,	995
2020-04-07 12:22:00	, 3823,	994
2020-04-07 12:23:00	, 3820,	999
2020-04-07 12:24:00	, 3818,	1000
2020-04-07 12:25:00	, 3820,	995
2020-04-07 12:26:00	, 3817,	994
2020-04-07 12:27:00	, 3818,	1009
2020-04-07 12:28:00	, 3816,	1010
2020-04-07 12:29:00	, 3816,	1002
2020-04-07 12:30:00	, 3817,	1005
2020-04-07 12:31:00	, 3816,	1007
2020-04-07 12:32:00	, 3815,	1001
2020-04-07 12:33:00	, 3814,	1003
2020-04-07 12:34:00	, 3814,	1001
2020-04-07 12:35:00	, 3814,	994
2020-04-07 12:36:00	, 3811,	997
2020-04-07 12:37:00	, 3812,	999
2020-04-07 12:38:00	, 3811,	1005
2020-04-07 12:39:00	, 3810,	1005
2020-04-07 12:40:00	, 3810,	995
2020-04-07 12:41:00	, 3811,	999
2020-04-07 12:42:00	, 3808,	998
2020-04-07 12:43:00	, 3806,	1005
2020-04-07 12:44:00	, 3804,	1004
2020-04-07 12:45:00	, 3807,	1003
2020-04-07 12:46:00	, 3806,	997
2020-04-07 12:47:00	, 3804,	1004
2020-04-07 12:48:00	, 3806,	990
2020-04-07 12:49:00	, 3804,	999
2020-04-07 12:50:00	, 3804,	998
2020-04-07 12:51:00	, 3804,	999
2020-04-07 12:52:00	, 3804,	1003
2020-04-07 12:53:00	, 3802,	1006
2020-04-07 12:54:00	, 3802,	990
2020-04-07 12:55:00	, 3799,	1004
2020-04-07 12:56:00	, 3801,	997
2020-04-07 12:57:00	, 3797,	997
2020-04-07 12:58:00	, 3800,	997
2020-04-07 12:59:00	, 3798,	999
2020-04-07 13:00:00	, 3797,	994
2020-04-07 13:01:00	, 3796,	1005
2020-04-07 13:02:00	, 3798,	992
2020-04-07 13:03:00	, 3795,	1004
2020-04-07 13:04:00	, 3795,	1003
2020-04-07 13:05:00	, 3793,	997
2020-04-07 13:06:00	, 3794,	995
2020-04-07 13:07:00	, 3792,	991
2020-04-07 13:08:00	, 3794,	998
2020-04-07 13:09:00	, 3791,	999
2020-04-07 13:10:00	, 3792,	997
2020-04-07 13:11:00	, 3790,	998
2020-04-07 13:12:00	, 3790,	1006
2020-04-07 13:13:00	, 3788,	999
2020-04-07 13:14:00	, 3790,	992
2020-04-07 13:15:00	, 3786,	1001
2020-04-07 13:16:00	, 3787,	992
2020-04-07 13:17:00	, 3786,	998
2020-04-07 13:18:00	, 3787,	999
2020-04-07 13:19:00	, 3783,	1005
2020-04-07 13:20:00	, 3784,	1004
2020-04-07 13:21:00	, 3783,	998
2020-04-07 13:22:00	, 3782,	995
2020-04-07 13:23:00	, 3780,	998
2020-04-07 13:24:00	, 3781,	1004
2020-04-07 13:25:00	, 3779,	1004
2020-04-07 13:26:00	, 3778,	996
2020-04-07 13:27:00	, 3776,	998
2020-04-07 13:28:00	, 3778,	997
2020-04-07 13:29:00	, 3774,	1004
2020-04-07 13:30:00	, 3777,	998
2020-04-07 13:31:00	, 3773,	1003
2020-04-07 13:32:00	, 3775,	1004
2020-04-07 13:33:00	, 3774,	991
2020-04-07 13:34:00	, 3775,	991
2020-04-07 13:35:00	, 3772,	998
2020-04-07 13:36:00	, 3773,	992
2020-04-07 13:37:00	, 3770,	1003
2020-04-07 13:38:00	, 3770,	1002
2020-04-07 13:39:00	, 3766,	1004
2020-04-07 13:40:00	, 3770,	996
2020-04-07 13:41:00	, 3768,	1006
2020-04-07 13:42:00	, 3768,	997
2020-04-07 13:43:00	, 3766,	997
2020-04-07 13:44:00	, 3766,	991
2020-04-07 13:45:00	, 3763,	1003
2020-04-07 13:46:00	, 3764,	997
2020-04-07 13:47:00	, 3761,	996
2020-04-07 13:48:00	, 3762,	1003
2020-04-07 13:49:00	, 3760,	991
2020-04-07 13:50:00	, 3761,	997
2020-04-07 13:51:00	, 3758,	991
2020-04-07 13:52:00	, 3759,	997
2020-04-07 13:53:00	, 3757,	1004
2020-04-07 13:54:00	, 3757,	997
2020-04-07 13:55:00	, 3753,	997
2020-04-07 13:56:00	, 3755,	998
2020-04-07 13:57:00	, 3751,	1001
2020-04-07 13:58:00	, 3754,	995
2020-04-07 13:59:00	, 3750,	995
2020-04-07 14:00:00	, 3751,	995
2020-04-07 14:01:00	, 3749,	989
2020-04-07 14:02:00	, 3750,	995
2020-04-07 14:03:00	, 3747,	995
2020-04-07 14:04:00	, 3747,	994
2020-04-07 14:05:00	, 3746,	996
2020-04-07 14:06:00	, 3745,	989
2020-04-07 14:07:00	, 3742,	995
2020-04-07 14:08:00	, 3744,	1001
2020-04-07 14:09:00	, 3740,	995
2020-04-07 14:10:00	, 3741,	998
2020-04-07 14:11:00	, 3738,	997
2020-04-07 14:12:00	, 3738,	996
2020-04-07 14:13:00	, 3736,	996
2020-04-07 14:14:00	, 3737,	991
2020-04-07 14:15:00	, 3733,	1005
2020-04-07 14:16:00	, 3736,	996
2020-04-07 14:17:00	, 3731,	1004
2020-04-07 14:18:00	, 3732,	1004
2020-04-07 14:19:00	, 3727,	1001
2020-04-07 14:20:00	, 3730,	1006
2020-04-07 14:21:00	, 3728,	998
2020-04-07 14:22:00	, 3729,	997
2020-04-07 14:23:00	, 3726,	1000
2020-04-07 14:24:00	, 3726,	1003
2020-04-07 14:25:00	, 3722,	998
2020-04-07 14:26:00	, 3724,	1000
2020-04-07 14:27:00	, 3720,	1002
2020-04-07 14:28:00	, 3722,	990
2020-04-07 14:29:00	, 3716,	995
2020-04-07 14:30:00	, 3719,	989
2020-04-07 14:31:00	, 3716,	996
2020-04-07 14:32:00	, 3716,	996
2020-04-07 14:33:00	, 3712,	1002
2020-04-07 14:34:00	, 3714,	996
2020-04-07 14:35:00	, 3710,	997
2020-04-07 14:36:00	, 3712,	997
2020-04-07 14:37:00	, 3708,	990
2020-04-07 14:38:00	, 3710,	997
2020-04-07 14:39:00	, 3706,	996
2020-04-07 14:40:00	, 3707,	1001
2020-04-07 14:41:00	, 3705,	989
2020-04-07 14:42:00	, 3703,	985
2020-04-07 14:43:00	, 3702,	995
